order_purchase_timestamp,daily_revenue,num_orders,day_of_week,month,day
2017-06-28,14655.82,120,2,6,28
2017-06-29,12169.53,110,3,6,29
2017-06-30,12736.89,93,4,6,30
2017-07-01,12151.75,80,5,7,1
2017-07-02,11489.44,105,6,7,2
2017-07-03,16611.05,117,0,7,3
2017-07-04,15484.24,123,1,7,4
2017-07-05,20789.56,140,2,7,5
2017-07-06,22223.72,148,3,7,6
2017-07-07,13662.87,117,4,7,7
2017-07-08,10206.86,83,5,7,8
2017-07-09,8197.380000000001,90,6,7,9
2017-07-10,17326.93,140,0,7,10
2017-07-11,20213.79,162,1,7,11
2017-07-12,19180.22,149,2,7,12
2017-07-13,14531.0,137,3,7,13
2017-07-14,18745.15,149,4,7,14
2017-07-15,10930.56,98,5,7,15
2017-07-16,13421.6,112,6,7,16
2017-07-17,21554.98,163,0,7,17
2017-07-18,28238.2,190,1,7,18
2017-07-19,16545.34,150,2,7,19
2017-07-20,19174.08,141,3,7,20
2017-07-21,13448.85,114,4,7,21
2017-07-22,11456.81,88,5,7,22
2017-07-23,12117.61,104,6,7,23
2017-07-24,19662.62,161,0,7,24
2017-07-25,17482.53,151,1,7,25
2017-07-26,11265.23,123,2,7,26
2017-07-27,15693.93,123,3,7,27
2017-07-28,20043.16,132,4,7,28
2017-07-29,15964.27,115,5,7,29
2017-07-30,12944.87,117,6,7,30
2017-07-31,17272.88,147,0,7,31
2017-08-01,21745.04,165,1,8,1
2017-08-02,18147.0,155,2,8,2
2017-08-03,19125.510000000002,146,3,8,3
2017-08-04,18361.62,141,4,8,4
2017-08-05,11946.91,115,5,8,5
2017-08-06,14181.14,108,6,8,6
2017-08-07,23257.84,157,0,8,7
2017-08-08,18661.63,146,1,8,8
2017-08-09,20756.52,142,2,8,9
2017-08-10,19961.55,155,3,8,10
2017-08-11,20039.24,138,4,8,11
2017-08-12,13980.86,97,5,8,12
2017-08-13,12334.19,92,6,8,13
2017-08-14,18156.37,156,0,8,14
2017-08-15,23727.260000000002,193,1,8,15
2017-08-16,23950.42,173,2,8,16
2017-08-17,18357.91,155,3,8,17
2017-08-18,17132.01,146,4,8,18
2017-08-19,12910.13,108,5,8,19
2017-08-20,12873.78,103,6,8,20
2017-08-21,22219.35,177,0,8,21
2017-08-22,16627.12,136,1,8,22
2017-08-23,15873.61,111,2,8,23
2017-08-24,13361.11,126,3,8,24
2017-08-25,15163.32,123,4,8,25
2017-08-26,10141.69,93,5,8,26
2017-08-27,13367.88,118,6,8,27
2017-08-28,22244.52,155,0,8,28
2017-08-29,33756.48,137,1,8,29
2017-08-30,30938.16,178,2,8,30
2017-08-31,20671.51,148,3,8,31
2017-09-01,28473.13,158,4,9,1
2017-09-02,18128.66,104,5,9,2
2017-09-03,27795.41,125,6,9,3
2017-09-04,24937.98,148,0,9,4
2017-09-05,20981.55,154,1,9,5
2017-09-06,25624.61,140,2,9,6
2017-09-07,16893.5,97,3,9,7
2017-09-08,11883.47,115,4,9,8
2017-09-09,15082.53,106,5,9,9
2017-09-10,17810.27,135,6,9,10
2017-09-11,23376.78,178,0,9,11
2017-09-12,27136.010000000002,204,1,9,12
2017-09-13,27593.28,205,2,9,13
2017-09-14,22557.76,166,3,9,14
2017-09-15,18373.26,150,4,9,15
2017-09-16,21147.37,129,5,9,16
2017-09-17,19979.42,125,6,9,17
2017-09-18,28487.81,183,0,9,18
2017-09-19,20057.95,153,1,9,19
2017-09-20,22102.55,161,2,9,20
2017-09-21,19015.53,150,3,9,21
